"Player","Team","Position","From","To","Date (EST)","Period"
"Jaylen Brown","BOS","SG,G,<b>SF</b>,F","No Shaime","Freshly Washed Kings","Fri Dec 22, 2023, 6:00PM","60"
"Josh Giddey","OKC","<b>SG</b>,G,SF,PF,F","No Shaime","Freshly Washed Kings","Fri Dec 22, 2023, 6:00PM","60"
"Devin Booker","PHO","PG,<b>SG</b>,G,SF,F","No Shaime","Freshly Washed Kings","Fri Dec 22, 2023, 6:00PM","60"
"Luguentz Dort","OKC","<b>SG</b>,G,SF,F","Ball Don't Lie","Freshly Washed Kings","Tue Dec 19, 2023, 6:30PM","57"
"Klay Thompson","GS","<b>SG</b>,G,SF,F","Freshly Washed Kings","Ball Don't Lie","Tue Dec 19, 2023, 6:30PM","57"
"Kyle Kuzma","WAS","SF,<b>PF</b>,F","Freshly Washed Kings","Ice Trae","Thu Nov 30, 2023, 6:00PM","38"
"Spencer Dinwiddie","BKN/LAL","<b>PG</b>,SG,G","Freshly Washed Kings","Ice Trae","Thu Nov 30, 2023, 6:00PM","38"
"Jeremy Sochan","SA","PG,G,<b>PF</b>,F","Ice Trae","Freshly Washed Kings","Thu Nov 30, 2023, 6:00PM","38"
"Dyson Daniels","NO","<b>PG</b>,SG,G","Ice Trae","Freshly Washed Kings","Thu Nov 30, 2023, 6:00PM","38"
"Terry Rozier","CHA/MIA","<b>PG</b>,SG,G","Freshly Washed Kings","Always Droppin Dimes","Fri Nov 17, 2023, 6:00PM","25"
"Bradley Beal","PHO","<b>SG</b>,G,SF,F","Freshly Washed Kings","Always Droppin Dimes","Fri Nov 17, 2023, 6:00PM","25"
"Kyrie Irving","DAL","<b>PG</b>,SG,G","Freshly Washed Kings","Kelvin got No Dimes","Thu Nov 16, 2023, 6:30PM","24"
"DeMar DeRozan","CHI","<b>SG</b>,G,SF,PF,F","Freshly Washed Kings","Kelvin got No Dimes","Thu Nov 16, 2023, 6:30PM","24"
"James Harden","PHI/LAC","PG,<b>SG</b>,G","Freshly Washed Kings","Kelvin got No Dimes","Thu Nov 16, 2023, 6:30PM","24"
"Kevin Durant","PHO","<b>SF</b>,PF,F","Freshly Washed Kings","Kelvin got No Dimes","Thu Nov 16, 2023, 6:30PM","24"
"Shai Gilgeous-Alexander","OKC","PG,<b>SG</b>,G","Kelvin got No Dimes","Freshly Washed Kings","Thu Nov 16, 2023, 6:30PM","24"
"Nicolas Batum","LAC/PHI","<b>SF</b>,PF,F,C","BKs Whoppers","Pure Sweat Fam","Tue Nov 14, 2023, 6:00PM","22"
"Jonas Valanciunas","NO","<b>C</b>","BKs Whoppers","Pure Sweat Fam","Tue Nov 14, 2023, 6:00PM","22"
"CJ McCollum","NO","PG,<b>SG</b>,G","BKs Whoppers","Pure Sweat Fam","Tue Nov 14, 2023, 6:00PM","22"
"Bismack Biyombo","MEM/OKC","<b>C</b>","BKs Whoppers","Pure Sweat Fam","Tue Nov 14, 2023, 6:00PM","22"
"Dario Saric","GS","<b>PF</b>,F,C","BKs Whoppers","Pure Sweat Fam","Tue Nov 14, 2023, 6:00PM","22"
"Rudy Gobert","MIN","<b>C</b>","Pure Sweat Fam","BKs Whoppers","Tue Nov 14, 2023, 6:00PM","22"
"Myles Turner","IND","<b>C</b>","Pure Sweat Fam","BKs Whoppers","Tue Nov 14, 2023, 6:00PM","22"
"Bam Adebayo","MIA","<b>C</b>","Pure Sweat Fam","BKs Whoppers","Tue Nov 14, 2023, 6:00PM","22"
"Russell Westbrook","LAC","<b>PG</b>,G","Pure Sweat Fam","BKs Whoppers","Tue Nov 14, 2023, 6:00PM","22"
"De'Aaron Fox","SAC","<b>PG</b>,G","Pure Sweat Fam","BKs Whoppers","Tue Nov 14, 2023, 6:00PM","22"
"Coby White","CHI","<b>PG</b>,SG,G","Always Droppin Dimes","Twin Towers","Thu Oct 26, 2023, 3:06PM","3"
"Jakob Poeltl","TOR","<b>C</b>","BKs Whoppers","Pure Sweat Fam","Tue Oct 24, 2023, 6:04PM","1"
"Khris Middleton","MIL","<b>SF</b>,F","BKs Whoppers","Pure Sweat Fam","Tue Oct 24, 2023, 6:04PM","1"
"Kristaps Porzingis","BOS","<b>PF</b>,F,C","Pure Sweat Fam","BKs Whoppers","Tue Oct 24, 2023, 6:04PM","1"
"2025 Draft Pick, Round 1 (Kelvin got No Dimes)","","","BKs Whoppers","Twin Towers","Mon Oct 23, 2023, 11:05PM","1"
"2025 Draft Pick, Round 1 (BKs Whoppers)","","","Twin Towers","BKs Whoppers","Mon Oct 23, 2023, 11:05PM","1"
"Jalen Duren","DET","<b>C</b>","Ice Trae","No Shaime","Mon Oct 23, 2023, 11:05PM","1"
"Jalen Brunson","NY","<b>PG</b>,G","BKs Whoppers","Ice Trae","Mon Oct 23, 2023, 11:05PM","1"
"Donovan Mitchell","CLE","PG,<b>SG</b>,G","BKs Whoppers","Ice Trae","Mon Oct 23, 2023, 11:05PM","1"
"Mikal Bridges","BKN","SG,G,<b>SF</b>,PF,F","Ice Trae","BKs Whoppers","Mon Oct 23, 2023, 11:05PM","1"
"2025 Draft Pick, Round 1 (Ice Trae)","","","Ice Trae","BKs Whoppers","Mon Oct 23, 2023, 11:05PM","1"
"2024 Draft Pick, Round 1 (Kelvin got No Dimes)","","","Ice Trae","BKs Whoppers","Mon Oct 23, 2023, 11:05PM","1"
"Ausar Thompson","DET","<b>SF</b>,F","Only Franz","Twin Towers","Mon Oct 23, 2023, 11:05PM","1"
"Leonard Miller","MIN","<b>SF</b>,F","Only Franz","Twin Towers","Mon Oct 23, 2023, 11:05PM","1"
"2024 Draft Pick, Round 1 (Freshly Washed Kings)","","","Only Franz","Twin Towers","Mon Oct 23, 2023, 11:05PM","1"
"Deandre Ayton","POR","<b>C</b>","Twin Towers","Only Franz","Mon Oct 23, 2023, 11:05PM","1"
"Taylor Hendricks","UTA","<b>PF</b>,F","Twin Towers","Only Franz","Mon Oct 23, 2023, 11:05PM","1"
"Keyonte George","UTA","PG,<b>SG</b>,G","Twin Towers","Only Franz","Mon Oct 23, 2023, 11:05PM","1"
"2025 Draft Pick, Round 2 (Twin Towers)","","","Twin Towers","Only Franz","Mon Oct 23, 2023, 11:05PM","1"
"Cam Whitmore","HOU","<b>SF</b>,PF,F","Ball Don't Lie","No Shaime","Mon Oct 23, 2023, 11:05PM","1"
"2027 Draft Pick, Round 2 (No Shaime)","","","No Shaime","Ball Don't Lie","Mon Oct 23, 2023, 11:05PM","1"
"2027 Draft Pick, Round 1 (Freshly Washed Kings)","","","No Shaime","Ball Don't Lie","Mon Oct 23, 2023, 11:05PM","1"
"2028 Draft Pick, Round 2 (No Shaime)","","","No Shaime","Ball Don't Lie","Mon Oct 23, 2023, 11:05PM","1"
"Cam Whitmore","HOU","<b>SF</b>,PF,F","BKs Whoppers","Ball Don't Lie","Mon Oct 23, 2023, 11:05PM","1"
"2026 Draft Pick, Round 2 (Pure Sweat Fam)","","","Ball Don't Lie","BKs Whoppers","Mon Oct 23, 2023, 11:05PM","1"
"2027 Draft Pick, Round 2 (Ball Don't Lie)","","","Ball Don't Lie","BKs Whoppers","Mon Oct 23, 2023, 11:05PM","1"
"2027 Draft Pick, Round 1 (Freshly Washed Kings)","","","Freshly Washed Kings","No Shaime","Mon Oct 23, 2023, 11:05PM","1"
"Cameron Johnson","BKN","SF,<b>PF</b>,F","No Shaime","Freshly Washed Kings","Mon Oct 23, 2023, 11:05PM","1"
"2023 Draft Pick, Round 2 (Ice Trae)","","","No Shaime","Freshly Washed Kings","Mon Oct 23, 2023, 11:05PM","1"
"2023 Draft Pick, Round 2 (Ice Trae)","","","Freshly Washed Kings","No Shaime","Mon Oct 23, 2023, 11:05PM","1"
"2024 Draft Pick, Round 1 (Ice Trae)","","","Freshly Washed Kings","No Shaime","Mon Oct 23, 2023, 11:05PM","1"
"Kyle Kuzma","WAS","SF,<b>PF</b>,F","No Shaime","Freshly Washed Kings","Mon Oct 23, 2023, 11:05PM","1"
"Tyus Jones","WAS","<b>PG</b>,G","No Shaime","Freshly Washed Kings","Mon Oct 23, 2023, 11:05PM","1"
"Cole Anthony","ORL","<b>PG</b>,G","No Shaime","Freshly Washed Kings","Mon Oct 23, 2023, 11:05PM","1"
"Derrick White","BOS","PG,<b>SG</b>,G","Always Droppin Dimes","Ball Don't Lie","Mon Oct 23, 2023, 11:05PM","1"
"2023 Draft Pick, Round 2 (BKs Whoppers)","","","Always Droppin Dimes","Ball Don't Lie","Mon Oct 23, 2023, 11:05PM","1"
"Jusuf Nurkic","PHO","<b>C</b>","Ball Don't Lie","Always Droppin Dimes","Mon Oct 23, 2023, 11:05PM","1"
"2023 Draft Pick, Round 2 (Kelvin got No Dimes)","","","Ball Don't Lie","Always Droppin Dimes","Mon Oct 23, 2023, 11:05PM","1"
"Nicolas Claxton","BKN","<b>C</b>","Always Droppin Dimes","Twin Towers","Mon Oct 23, 2023, 11:05PM","1"
"2025 Draft Pick, Round 2 (Freshly Washed Kings)","","","Always Droppin Dimes","Twin Towers","Mon Oct 23, 2023, 11:05PM","1"
"2026 Draft Pick, Round 1 (Twin Towers)","","","Twin Towers","Always Droppin Dimes","Mon Oct 23, 2023, 11:05PM","1"
"2023 Draft Pick, Round 2 (BKs Whoppers)","","","Twin Towers","Always Droppin Dimes","Mon Oct 23, 2023, 11:05PM","1"
"2025 Draft Pick, Round 1 (Always Droppin Dimes)","","","Twin Towers","Always Droppin Dimes","Mon Oct 23, 2023, 11:05PM","1"
"2023 Draft Pick, Round 2 (Ball Don't Lie)","","","Freshly Washed Kings","Twin Towers","Mon Oct 23, 2023, 11:05PM","1"
"2025 Draft Pick, Round 1 (Always Droppin Dimes)","","","Freshly Washed Kings","Twin Towers","Mon Oct 23, 2023, 11:05PM","1"
"John Collins","UTA","<b>PF</b>,F,C","Twin Towers","Freshly Washed Kings","Mon Oct 23, 2023, 11:05PM","1"
"2023 Draft Pick, Round 2 (Ice Trae)","","","Twin Towers","Freshly Washed Kings","Mon Oct 23, 2023, 11:05PM","1"
"Moses Moody","GS","<b>SG</b>,G,SF,F","Ball Don't Lie","Freshly Washed Kings","Mon Oct 23, 2023, 11:05PM","1"
"2023 Draft Pick, Round 1 (Kelvin got No Dimes)","","","Ball Don't Lie","Freshly Washed Kings","Mon Oct 23, 2023, 11:05PM","1"
"2023 Draft Pick, Round 2 (Ball Don't Lie)","","","Ball Don't Lie","Freshly Washed Kings","Mon Oct 23, 2023, 11:05PM","1"
"2025 Draft Pick, Round 1 (Always Droppin Dimes)","","","Ball Don't Lie","Freshly Washed Kings","Mon Oct 23, 2023, 11:05PM","1"
"Pascal Siakam","TOR/IND","<b>PF</b>,F,C","Freshly Washed Kings","Ball Don't Lie","Mon Oct 23, 2023, 11:05PM","1"
"Karl-Anthony Towns","MIN","PF,F,<b>C</b>","BKs Whoppers","Ball Don't Lie","Mon Oct 23, 2023, 11:05PM","1"
"Jusuf Nurkic","PHO","<b>C</b>","BKs Whoppers","Ball Don't Lie","Mon Oct 23, 2023, 11:05PM","1"
"Michael Porter","DEN","<b>SF</b>,PF,F","Ball Don't Lie","BKs Whoppers","Mon Oct 23, 2023, 11:05PM","1"
"Kris Dunn","UTA","<b>PG</b>,SG,G","Ball Don't Lie","BKs Whoppers","Mon Oct 23, 2023, 11:05PM","1"
"Cameron Thomas","BKN","<b>SG</b>,G,SF,F","Ball Don't Lie","BKs Whoppers","Mon Oct 23, 2023, 11:05PM","1"
"2025 Draft Pick, Round 1 (Kelvin got No Dimes)","","","Ball Don't Lie","BKs Whoppers","Mon Oct 23, 2023, 11:05PM","1"
"2026 Draft Pick, Round 2 (No Shaime)","","","Ball Don't Lie","BKs Whoppers","Mon Oct 23, 2023, 11:05PM","1"
"2027 Draft Pick, Round 2 (BKs Whoppers)","","","Ball Don't Lie","BKs Whoppers","Mon Oct 23, 2023, 11:05PM","1"
"2024 Draft Pick, Round 1 (Ball Don't Lie)","","","Ball Don't Lie","BKs Whoppers","Mon Oct 23, 2023, 11:05PM","1"
